# PyRadio Playlist File - Format:,,,,,,,,,
# name,url,encoding,icon,profile,buffering,force-http,volume,referer,player
潮州交通音乐广播,http://ytcastmp3.radio.cn/79/stream_22193.mp3?type=1&key=bf02f6b4e832908fd2e1c9fdb09b1d6c&time=68f9d107
潮州戏曲广播,http://ytcastmp3.radio.cn/79/stream_22254.mp3?type=1&key=3860c952c09f0fee4222bd15b4002eb0&time=68f9d107
潮州综合广播,http://ytcastmp3.radio.cn/79/stream_22194.mp3?type=1&key=2abaa0992ec46e38b256b61179251167&time=68f9d107
东莞交通音乐广播,http://ytcastmp3.radio.cn/77/stream_11849.mp3?type=1&key=8bf61aecc952ab8bc191bb26baa7194c&time=68f9d107
东莞综合广播,http://ytcastmp3.radio.cn/77/stream_11850.mp3?type=1&key=2e3d9355d91b0efa700d1c5002c49667&time=68f9d107
佛山电台901,http://ytcastmp3.radio.cn/80/stream_11351.mp3?type=1&key=7da1712608e9eac7aee3ce54f9a8f003&time=68f9d107
佛山电台924,http://ytcastmp3.radio.cn/80/stream_11067.mp3?type=1&key=5b373c50376f2d737978c51044dad2b2&time=68f9d107
佛山电台946,http://ytcastmp3.radio.cn/57/stream_11352.mp3?type=1&key=575d794121b0726cba65b0abaaa00355&time=68f9d107
河源旅游广播,http://ytcastmp3.radio.cn/89/stream_22013.mp3?type=1&key=6c378b25548bd7dbdaf57b069fa35aa7&time=68f9d107
河源综合广播,http://ytcastmp3.radio.cn/89/stream_22012.mp3?type=1&key=78e936934cf799f144afbf7bc980a331&time=68f9d107
惠州交通广播FM988,http://ytcastmp3.radio.cn/87/stream_21847.mp3?type=1&key=3926ce4624d581a828e3b55816d61648&time=68f9d107
惠州音乐广播FM907,http://ytcastmp3.radio.cn/87/stream_21846.mp3?type=1&key=683f5bf44f6a0ed8bdc18ad9b38fd66f&time=68f9d107
惠州综合广播FM100,http://ytcastmp3.radio.cn/87/stream_21845.mp3?type=1&key=df49fae13d87d2c9a5bad428081d9eb7&time=68f9d107
鹤山电台,http://ytcastmp3.radio.cn/57/stream_21464.mp3?type=1&key=00b83ad368279958c5a273b98981de0d&time=68f9d107
江门旅游音乐广播,http://ytcastmp3.radio.cn/72/stream_21986.mp3?type=1&key=2aabf94b33f73fb9596da9f4f8fbcf41&time=68f9d107
台山人民广播电台,http://ytcastmp3.radio.cn/74/stream_22443.mp3?type=1&key=f9a8737a241ce46508ffb3466ffe2abd&time=68f9d107
茂名交通广播,http://ytcastmp3.radio.cn/88/stream_11912.mp3?type=1&key=abb54c5085a20a1b5ec6a2abe5735859&time=68f9d107
茂名综合广播,http://ytcastmp3.radio.cn/88/stream_11899.mp3?type=1&key=d2783b6e76528014dd69084d0f5c2167&time=68f9d107
梅州电台综合广播,http://ytcastmp3.radio.cn/75/stream_11063.mp3?type=1&key=2c9926bd8f95d35f30ac4be2d38d0572&time=68f9d107
梅州交通广播,http://ytcastmp3.radio.cn/84/stream_21648.mp3?type=1&key=4de8e31a4f4dfbbada7ad1ec3360824a&time=68f9d107
兴宁市融媒体中心综合广播,http://ytcastmp3.radio.cn/88/stream_23294.mp3?type=1&key=e888532a89dc3bcee548ffab3fc654f1&time=68f9d107
清远交通音乐广播,http://ytcastmp3.radio.cn/76/stream_22197.mp3?type=1&key=65e26a134299e6b5cea439e6e209fbfd&time=68f9d107
清远综合广播,http://ytcastmp3.radio.cn/76/stream_22195.mp3?type=1&key=5c8196cd0455f44e8c9c0256a0c10fa3&time=68f9d107
汕头音乐广播,http://ytcastmp3.radio.cn/90/stream_11076.mp3?type=1&key=b69750c7b005945dc2862c0e0bd2fd74&time=68f9d107
汕头综合广播,http://ytcastmp3.radio.cn/90/stream_11068.mp3?type=1&key=5fb4a5fb1acdb58e393b5b360b576734&time=68f9d107
阳江旅游环保广播,http://ytcastmp3.radio.cn/82/stream_21425.mp3?type=1&key=a5812aae93bdc12fc496f7110979eac6&time=68f9d107
阳江综合广播,http://ytcastmp3.radio.cn/82/stream_21424.mp3?type=1&key=039c3a3809b621c46f9427798c6b3055&time=68f9d107
云浮交通音乐广播,http://ytcastmp3.radio.cn/89/stream_21780.mp3?type=1&key=1811a4ba378093159a2ffceaade013ca&time=68f9d107
云浮综合广播,http://ytcastmp3.radio.cn/88/stream_11844.mp3?type=1&key=fc26408d2d23ea35fc814a114d7e6625&time=68f9d107
湛江经济广播,http://ytcastmp3.radio.cn/85/stream_11419.mp3?type=1&key=dacc2b2556cd3622572c050aeb692e0a&time=68f9d107
湛江交通音乐广播,http://ytcastmp3.radio.cn/55/stream_21420.mp3?type=1&key=f124c08fb9f835e510c52b7cf819703f&time=68f9d107
湛江综合广播,http://ytcastmp3.radio.cn/55/stream_21421.mp3?type=1&key=3154dfa4f907f8dcb7fad42f6448e861&time=68f9d107
怀集音乐之声,http://ytcastmp3.radio.cn/81/stream_22518.mp3?type=1&key=28b3db3fc42a6377fa7d8a312af2d9b9&time=68f9d107
肇庆旅游之声,http://ytcastmp3.radio.cn/59/stream_22289.mp3?type=1&key=a7697d5b331b3eb883670ffaf88db2a2&time=68f9d107
肇庆高新区广播,http://ytcastmp3.radio.cn/77/stream_23285.mp3?type=1&key=39e4549cee6e4a29f7ab26ec78e0bf1e&time=68f9d107
肇庆综合广播,http://ytcastmp3.radio.cn/59/stream_22288.mp3?type=1&key=9f4721694cdf80b264f9f7a164fc707c&time=68f9d107
中山电台快乐888,http://ytcastmp3.radio.cn/89/stream_21062.mp3?type=1&key=4c1048594a780ddcec06b872c0d7cd10&time=68f9d107
中山电台新锐967,http://ytcastmp3.radio.cn/89/stream_21539.mp3?type=1&key=2aeac20d017b4e34125e366d3c359d43&time=68f9d107
珠海交通广播875,http://ytcastmp3.radio.cn/86/stream_21646.mp3?type=1&key=5a18751a95bc0c93c044118da8f25240&time=68f9d107
